id,contract_type,name,office_latitude,office_longitude,category_name
0,INTERNSHIP,[Louis Vuitton Germany] Praktikant (m/w) im Bereich Digital Retail (E-Commerce),48.1392154,11.5781413,Marketing / Communication
1,APPRENTICESHIP,[Christian Dior Couture] Alternance - Assistant(e) Développement Communications & Attentions Clients,48.8664383,2.3068732999999995,Marketing / Communication
2,APPRENTICESHIP,Chargé (e) de Marketing Digital H/F (alternance 4j/1j ou temps plein),48.8746763,2.2909585,Marketing / Communication
3,INTERNSHIP,Bras Droit Marketing Manager,48.875369299999996,2.3372256,Marketing / Communication
4,INTERNSHIP,STAGE : CHARGE DE MARKETING INTERNATIONAL OPÉRATIONNEL,48.8746763,2.2909585,Marketing / Communication
5,INTERNSHIP,Assistant(e) chef de produit e-commerce,48.8206321,2.3428697999999994,Marketing / Communication
6,INTERNSHIP,Assistant(e) Communication & Marketing,48.8206321,2.3428697999999994,Marketing / Communication
7,INTERNSHIP,Assistant chef de projet Trade marketing/Retail (H/F),48.854541299999994,2.3825196,Marketing / Communication
8,APPRENTICESHIP,Assistant chef de projet Trade/Retail en alternance (H/F),48.854541299999994,2.3825196,Marketing / Communication
9,FULL_TIME,Chargé(e) de marketing stratégique Immo H/F,48.872825299999995,2.3580058999999998,Marketing / Communication
10,INTERNSHIP,[Chaumet International SA] Assistant(e) Marketing Opérationnel International,48.8666956,2.3305235,Marketing / Communication
11,FULL_TIME,Chargé de marketing stratégique Auto H/F,48.872825299999995,2.3580058999999998,Marketing / Communication
12,FULL_TIME,Responsable Editorial & Etudes de marché internationales (H/F),48.8746763,2.2909585,Marketing / Communication
13,INTERNSHIP,UX/UI Designer (H/F),48.8709753,2.3353917,Marketing / Communication
14,FULL_TIME,VP Marketing,48.875099,2.3401515,Marketing / Communication
15,FULL_TIME,Monetization Manager (Senior),48.8697856,2.3444351,Marketing / Communication
16,INTERNSHIP,STAGE - Chef de Projet Marketing CRM (H/F),48.896133500000005,2.3812061,Marketing / Communication
17,INTERNSHIP,Media Research Analyst (h/f),48.8709753,2.3353917,Marketing / Communication
18,INTERNSHIP,Chargé(e) de Marketing et Communication,43.6009799,7.0929018,Marketing / Communication
19,APPRENTICESHIP,Chargé de Marketing (H/F) - Contrat Pro,48.8746763,2.2909585,Marketing / Communication
20,TEMPORARY,Assistant(e) chef de projet,45.4210585,4.3690571,Marketing / Communication
21,INTERNSHIP,Web Marketing & Communication Digitale,48.874154600000004,2.309093,Marketing / Communication
22,APPRENTICESHIP,ALTERNANCE CHEF DE PROJET MARKETING H/F,48.9138833,2.3576766,Marketing / Communication
23,TEMPORARY,Chargé de produit H/F,48.8423381,2.3196434,Marketing / Communication
24,INTERNSHIP,Assistant Marketing Digital (stage ou alternance),48.8722789,2.3384367000000004,Marketing / Communication
25,FULL_TIME,Responsable E-Commerce / CMO,48.852884700000004,2.3643089,Marketing / Communication
26,FULL_TIME,"Digital Marketing Manager, International",48.856614,2.3522218999999995,Marketing / Communication
27,INTERNSHIP,Webmarketing. / Community manager,49.3154128,0.5442384,Marketing / Communication
28,INTERNSHIP,Customer Success Assistant,48.8752791,2.3226727000000005,Marketing / Communication
29,INTERNSHIP,H/F STAGE DÉVELOPPEMENT STRATÉGIQUE,48.871517600000004,2.3107874,Marketing / Communication
30,FULL_TIME,Chef de projet Marketing,48.8271864,2.3162818,Marketing / Communication
31,FULL_TIME,Marketing Manager,48.6928606,6.1816263,Marketing / Communication
32,INTERNSHIP,[STAGE] BUSINESS DEVELOPER - JANVIER 2018,48.851194899999996,2.3846036,Marketing / Communication
33,FULL_TIME,Growth Hacker & Marketing Specialist,48.8756084,2.3217827,Marketing / Communication
34,FULL_TIME,Chef de projet marketing relationnel et commercial (H/F),48.8913255,2.3506167999999996,Marketing / Communication
35,FULL_TIME,Responsable Marketing Digital (H/F),48.8188827,2.1979843,Marketing / Communication
36,INTERNSHIP,[STAGE] Chargé(e) de Marketing & Communication,48.866946899999995,2.2891631,Marketing / Communication
37,APPRENTICESHIP,Assitant (e) chef de marché neuf,48.8913255,2.3506167999999996,Marketing / Communication
38,FULL_TIME,CRM Manager,48.8610723,2.3083927,Marketing / Communication
39,INTERNSHIP,Chef de Projets E-Commerce/Traffic Manager,48.883025599999996,2.3688409,Marketing / Communication
40,APPRENTICESHIP,Chargé(e) de Communication Développement durable,48.833180600000006,2.2691537,Marketing / Communication
41,FULL_TIME,Programmatic campaign manager H/F,48.8912247,2.2781714,Marketing / Communication
42,FULL_TIME,Display manager H/F en CDI,48.8912247,2.2781714,Marketing / Communication
43,FULL_TIME,Directeur de clientèle digital H/F en CDI,48.8912247,2.2781714,Marketing / Communication
44,INTERNSHIP,Chef de Projets E-Commerce/Traffic Manager,48.883025599999996,2.3688409,Marketing / Communication
45,FULL_TIME,[Hublot] Digital project coordinator,48.8661039,2.305791,Marketing / Communication
46,INTERNSHIP,Chef de projet marketing et communication junior,48.8438234,2.3723829,Marketing / Communication
47,INTERNSHIP,Junior Marketer España,48.876651700000004,2.3526137,Marketing / Communication
48,INTERNSHIP,Brand Ambassador - STAGE,48.8964425,2.2981272999999995,Marketing / Communication
49,INTERNSHIP,Junior Marketer - Native English Speakers Only,48.876651700000004,2.3526137,Marketing / Communication
50,FULL_TIME,CRM Ninja : Analyste et Chef de Projet,48.876651700000004,2.3526137,Marketing / Communication
51,FULL_TIME,MARKETING RESEARCH MANAGER H/F,48.913114,2.3627417,Marketing / Communication
52,INTERNSHIP,Stage Assistant Marketing & Communication (H/F),48.872235700000004,2.3276039,Marketing / Communication
53,FULL_TIME,"Marketing, Acquisition & Growth Manager - BlaBlaLines",48.869513399999995,2.3379687000000002,Marketing / Communication
54,INTERNSHIP,[Sephora SA] Stage - Assistant chef de produits soins et accessoires (H/F),48.8661039,2.305791,Marketing / Communication
55,INTERNSHIP,"[Parfums Christian Dior Orient] CRM & Digital Intern, Dubai",48.8661039,2.305791,Marketing / Communication
56,APPRENTICESHIP,Marketing Manager en alternance (H/F),48.872393200000005,2.3298968999999996,Marketing / Communication
57,APPRENTICESHIP,Stage ou Alternance Chargé d’Etudes Marketing Europe H/F,48.872393200000005,2.3298968999999996,Marketing / Communication
58,APPRENTICESHIP,Alternance - Assistant Acquisition Online (H/F),48.872393200000005,2.3298968999999996,Marketing / Communication
59,INTERNSHIP,Stage Marketing Digital,48.8981631,2.3780941,Marketing / Communication
60,FULL_TIME,Head of Marketing and Growth,51.523682,-0.178319,Marketing / Communication
61,FULL_TIME,Marketing Manager,52.2296756,21.012228699999998,Marketing / Communication
62,FULL_TIME,AWARENESS EXPERT (M/F),48.856614,2.3522218999999995,Marketing / Communication
63,INTERNSHIP,Bras droit Communication (H/F),48.8688689,2.3523787,Marketing / Communication
64,TEMPORARY,Chargé de projet H/F,48.837272799999994,2.3353873,Marketing / Communication
65,TEMPORARY,Chargé Produit de Déploiement Prévention H/F,48.837272799999994,2.3353873,Marketing / Communication
66,INTERNSHIP,Chargé d'études Statisitiques / Datascientist H/F,48.841287799999996,2.3179672000000004,Marketing / Communication
67,INTERNSHIP,Digital Marketing Manager Junior,48.8676305,2.3495396,Marketing / Communication
68,INTERNSHIP,Marketing Analyst - début juillet / aout - 6 mois,48.8683075,2.3520897,Marketing / Communication
69,FULL_TIME,Expert Digital SEA / Automatisation Facebook Ads,43.490996,5.3720112,Marketing / Communication
70,FULL_TIME,Marketing & Acquisition Manager,48.871620799999995,2.3477646,Marketing / Communication
71,INTERNSHIP,Stage Content Marketing,48.8718198,2.298156,Marketing / Communication
72,FULL_TIME,Directeur Général Adjoint / Directeur marketing (H/F),48.8832455,2.268409,Marketing / Communication
73,INTERNSHIP,[Louis Vuitton Malletier] Stage - Assistant(e) Sets de Presse Prêt à Porter Femme,48.8661039,2.305791,Marketing / Communication
74,FULL_TIME,Social Media Manager (H/F),48.872393200000005,2.3298968999999996,Marketing / Communication
75,INTERNSHIP,[LVMH Fragrance Brands] Stage - Assistant(e) Chef de Produit Teint -Parfums GIVENCHY,48.8661039,2.305791,Marketing / Communication
76,FULL_TIME,[Benefit Cosmetics Hong Kong] Travel Retail Marketing Executive,48.8661039,2.305791,Marketing / Communication
77,INTERNSHIP,STAGE - Chef de projet Marketing Relationnel & CRM (H/F),48.896133500000005,2.3812061,Marketing / Communication
78,APPRENTICESHIP,[Sephora SA] Assistant Chargé D'Opérations Marketing H/F,48.88299620000001,2.2685473,Marketing / Communication
79,FULL_TIME,[Hennessy] International Senior Brand Manager,48.8662221,2.3054415,Marketing / Communication
80,FULL_TIME,[Chaumet Hong Kong] CRM Manager,48.8661039,2.305791,Marketing / Communication
81,FULL_TIME,[LVMH Fragrance Brands] Chef de Produit Senior Soin,48.892432,2.2843645,Marketing / Communication
82,FULL_TIME,[LVMH Holdings] Partnership Manager (H/F),48.8661039,2.305791,Marketing / Communication
83,FULL_TIME,[Sephora SA] CDI Responsable Category Management France - Maquillage (H/F),48.83491779999999,2.2484197999999997,Marketing / Communication
84,APPRENTICESHIP,[Louis Vuitton Malletier] Alternance – Assistant(e) Merchandiser Pôle Homme France & Monaco,48.8661039,2.305791,Marketing / Communication
85,FULL_TIME,[Fresh Hong-Kong] Product Manager,48.8661039,2.305791,Marketing / Communication
86,FULL_TIME,[Make Up For Ever] PR & Digital Communications Executive,48.8661039,2.305791,Marketing / Communication
87,INTERNSHIP,Chef de projet Performance Marketing,48.8665766,2.3345591,Marketing / Communication
88,FULL_TIME,"[Parfums Christian Dior Orient] Senior Marketing Executive Fragrance, Dubai",48.8661039,2.305791,Marketing / Communication
89,TEMPORARY,[Christian Dior Couture] CHEF DE PRODUIT SENIOR MARKETING DEVELOPPEMENT HORLOGERIE DIOR,48.8664383,2.3068732999999995,Marketing / Communication
90,INTERNSHIP,[LVMH Holdings] Stage Data analyst H/F,48.8661039,2.305791,Marketing / Communication
91,FULL_TIME,[Le Bon Marché] Chargé(e) de projets E-commerce Grande Epicerie - CDD 6 mois F/H,48.8506786,2.3245959,Marketing / Communication
92,INTERNSHIP,Assistant(e) Chef de Produit,48.9191506,2.3104497999999998,Marketing / Communication
93,FULL_TIME,[Bulgari South Asian Operation] Marketing & Communication Director,48.8661039,2.305791,Marketing / Communication
94,INTERNSHIP,Assistant(e) Chef de Projet Marketing,48.9191506,2.3104497999999998,Marketing / Communication
95,APPRENTICESHIP,[Sephora SA] Alternance - Assistant(e) Formation et Vente Nouvelles Marques France/Europe,48.8661039,2.305791,Marketing / Communication
96,INTERNSHIP,[LVMH Fragrance Brands] Stage - Assistant(e) Chef de Produit Parfums & Soins - Kenzo Parfums,48.892432,2.2843645,Marketing / Communication
97,INTERNSHIP,[Le Bon Marché] Stage Assistant(e) Business Développement (6 mois - à compter de juillet 2017) F/H,48.8506786,2.3245959,Marketing / Communication
98,INTERNSHIP,[Parfums Christian Dior] Stage Trade & Merchandising (H/F),48.8661039,2.305791,Marketing / Communication
99,FULL_TIME,[Moët Hennessy USA] Digital Director - Hennessy,40.7432086,-74.0079542,Marketing / Communication
100,INTERNSHIP,[Berluti] Stage - Assistant(e) commercial,48.8685074,2.3221816000000004,Marketing / Communication
101,APPRENTICESHIP,[Sephora SA] Alternance - Assistant chef de projets marketing opérationnel - France (H/F),48.8661039,2.305791,Marketing / Communication
102,APPRENTICESHIP,[Sephora SA] Alternance - Assistant chef de produits - Nouvelles marques (H/F),48.8661039,2.305791,Marketing / Communication
